Designator,Mid X,Mid Y,Rotation,Layer
C1,201.22415,-64.635,0.0,bottom
C2,201.22415,-68.635,0.0,bottom
C3,201.22415,-71.635,0.0,bottom
C4,201.22415,-73.635,180.0,bottom
J1,178.0,-66.0,180.0,top
J2,186.39075,-60.0,180.0,bottom
J3,185.5,-88.5,90.0,bottom
J4,177.5,-76.0,90.0,bottom
J5,183.75,-76.0,90.0,bottom
J6,190.25,-76.0,90.0,bottom
J7,185.5,-105.5,90.0,bottom
Q1,195.0,-76.0,0.0,bottom
R1,184.6,-70.475,270.0,bottom
R10,214.22415,-76.635,0.0,bottom
R11,200.5,-105.0,0.0,bottom
R2,188.3,-70.475,270.0,bottom
R3,214.5,-103.0,0.0,bottom
R4,214.22415,-72.635,0.0,bottom
R5,214.5,-105.0,180.0,bottom
R6,201.22415,-77.635,0.0,bottom
R7,214.22415,-74.635,180.0,bottom
R8,201.22415,-75.635,0.0,bottom
R9,200.5,-103.0,180.0,bottom
U1,176.0,-89.09,0.0,top
U2,197.525,-91.1,0.0,top
U3,191.6,-62.1,0.0,top
U4,204.72415,-66.635,180.0,bottom
U5,207.5,-103.5,270.0,bottom
U6,207.72415,-74.635,0.0,bottom
U7,195.6,-79.6,0.0,top
